Block,Trial,ImageName,Response,RT,Correct,ConfidenceLevel
1,81,H_2_Non-Animal_Test.jpg,Non-Animal,2.15344779999941,1,0.7
1,82,F_42_Non-Animal_Test.jpg,Animal,1.63322510000216,0,0.35
1,83,N_61_Non-Animal_Test.jpg,Non-Animal,2.37332379999862,1,0.3
1,84,F_66_Animal_Test.jpg,Animal,1.49882069999876,1,0.7
1,85,H_13_Non-Animal_Test.jpg,Non-Animal,1.75780710000254,1,0.65
1,86,M_50_Animal_Test.jpg,Animal,2.37455599999885,1,0.3
1,87,H_53_Non-Animal_Test.jpg,Non-Animal,2.16873499999929,1,0.65
1,88,F_24_Animal_Test.jpg,Animal,1.62604859999919,1,0.75
1,89,M_70_Animal_Test.jpg,Animal,2.05163710000124,1,1
1,90,N_46_Animal_Test.jpg,Animal,2.05554710000069,1,1
1,91,H_9_Animal_Test.jpg,Animal,1.93575850000343,1,0.85
1,92,H_27_Non-Animal_Test.jpg,Non-Animal,2.36904119999963,1,1
1,93,N_71_Non-Animal_Test.jpg,Non-Animal,2.38611170000149,1,0.4
1,94,H_23_Animal_Test.jpg,Animal,2.46098119999806,1,0.95
1,95,H_61_Animal_Test.jpg,Animal,1.96198920000097,1,1
1,96,M_50_Non-Animal_Test.jpg,Non-Animal,1.72291910000058,1,0.75
1,97,N_45_Animal_Test.jpg,Animal,1.52275109999755,1,0.8
1,98,M_51_Animal_Test.jpg,Animal,1.96001030000116,1,1
1,99,H_34_Animal_Test.jpg,Animal,1.64013309999791,1,0.85
1,100,M_29_Non-Animal_Test.jpg,Non-Animal,1.81352690000131,1,1
1,101,F_11_Non-Animal_Test.jpg,Non-Animal,1.94686770000044,1,1
1,102,F_64_Animal_Test.jpg,Non-Animal,1.82621700000163,0,0.25
1,103,M_5_Non-Animal_Test.jpg,Non-Animal,1.60678100000223,1,0.9
1,104,N_4_Non-Animal_Test.jpg,Non-Animal,2.01907400000346,1,1
1,105,F_47_Non-Animal_Test.jpg,Animal,1.29614550000042,0,0.65
1,106,M_44_Animal_Test.jpg,Animal,1.72447230000034,1,1
1,107,N_38_Animal_Test.jpg,Animal,1.82847490000131,1,1
1,108,H_19_Non-Animal_Test.jpg,Non-Animal,1.83401769999909,1,0.7
1,109,M_5_Animal_Test.jpg,Animal,1.81568899999911,1,1
1,110,H_51_Non-Animal_Test.jpg,Non-Animal,1.5951344999994,1,0.4
1,111,M_49_Non-Animal_Test.jpg,Non-Animal,1.39472200000091,1,0.4
1,112,F_56_Animal_Test.jpg,Animal,2.02523479999945,1,1
1,113,N_5_Non-Animal_Test.jpg,Non-Animal,1.61811419999867,1,0.75
1,114,N_50_Non-Animal_Test.jpg,Animal,1.84289630000058,0,0.3
1,115,H_4_Non-Animal_Test.jpg,Non-Animal,1.93689380000069,1,1
1,116,F_4_Non-Animal_Test.jpg,Non-Animal,1.83358619999854,1,1
1,117,H_7_Non-Animal_Test.jpg,Non-Animal,1.71327440000096,1,0.9
1,118,F_54_Non-Animal_Test.jpg,Non-Animal,1.72695349999776,1,0.75
1,119,H_46_Animal_Test.jpg,Animal,1.91919829999824,1,1
1,120,N_15_Non-Animal_Test.jpg,Non-Animal,1.81677350000245,1,0.3
2,1,F_64_Non-Animal_Test.jpg,Non-Animal,3.83906849999767,1,0.85
2,2,H_19_Animal_Test.jpg,Animal,1.59873340000195,1,0.4
2,3,H_72_Non-Animal_Test.jpg,Non-Animal,2.17621700000018,1,0.7
2,4,M_61_Animal_Test.jpg,Animal,1.84980630000064,1,0.95
2,5,H_66_Animal_Test.jpg,Animal,1.75671579999835,1,0.25
2,6,H_25_Non-Animal_Test.jpg,Non-Animal,1.97509559999889,1,0.35
2,7,N_21_Animal_Test.jpg,Non-Animal,1.87500700000237,0,0.55
2,8,F_28_Non-Animal_Test.jpg,Non-Animal,1.67559270000129,1,0.8
2,9,H_15_Animal_Test.jpg,Animal,2.51725069999884,1,1
2,10,H_74_Animal_Test.jpg,Animal,1.98585450000246,1,1
2,11,M_72_Animal_Test.jpg,Animal,1.96606430000247,1,1
2,12,M_53_Animal_Test.jpg,Animal,1.86639080000168,1,1
2,13,M_4_Non-Animal_Test.jpg,Non-Animal,1.96688629999699,1,1
2,14,N_63_Non-Animal_Test.jpg,Animal,2.07784449999963,0,0.7
2,15,F_49_Non-Animal_Test.jpg,Non-Animal,2.21290189999854,1,0.35
2,16,M_54_Animal_Test.jpg,Animal,2.33615470000223,1,0.6
2,17,M_8_Animal_Test.jpg,Animal,1.88225270000112,1,1
2,18,N_22_Animal_Test.jpg,Animal,1.66779980000138,1,1
2,19,H_46_Non-Animal_Test.jpg,Non-Animal,1.76518519999809,1,0.8
2,20,N_23_Animal_Test.jpg,Animal,1.96171489999688,1,1
2,21,N_65_Animal_Test.jpg,Animal,2.6215538999968,1,0.45
2,22,F_21_Non-Animal_Test.jpg,Non-Animal,2.30408929999976,1,0.9
2,23,F_18_Animal_Test.jpg,Animal,1.96086490000016,1,1
2,24,N_33_Animal_Test.jpg,Animal,1.88047439999718,1,1
2,25,F_52_Non-Animal_Test.jpg,Non-Animal,1.56188729999849,1,0.3
2,26,H_47_Non-Animal_Test.jpg,Non-Animal,3.43999649999751,1,0.35
2,27,M_15_Non-Animal_Test.jpg,Non-Animal,2.65894509999998,1,0.95
2,28,H_59_Animal_Test.jpg,Animal,1.87348420000126,1,1
2,29,M_40_Animal_Test.jpg,Animal,2.86158029999933,1,0.3
2,30,H_32_Non-Animal_Test.jpg,Non-Animal,2.09923739999795,1,1
